text,label,Experience of Unity,Spiritual Experience,Blissful State,Insightfulness,Disembodiment,Impaired control and cognition,anxiety,Complex imagery,elementary imagery,audio-visual synesthesiase,Changed meaning of percepts,Oceanic Boundlessness,Ego-Dissolution,Visionary Restructuralization,Additional Items of Secondary Scale
Convert grief into anger/energy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achieve sports,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visit the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to friends about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inform yourself about the disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spend nice time with the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distracting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding Proffesional Help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talking to the sick staff as the prognosis is,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Support the sick person as far as it goes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write down fears & fears,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going to visit the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I bring a gift to the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking to the person about the disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I am looking for rust at family/friends,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm doing something with friends for distraction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I read books about coping strategies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I let my feelings run wild and cry out,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I seek psychological help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going on a journey to get to other thoughts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I eat chocolate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going to visit the relatives.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking to friends and family about my grief.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm asking about the type of disease and the chances of healing.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I distract myself with leisure activities (e.g. watching shows, reading)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I do more exercise to counteract the grief caused by elevated endorphin levels.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm organizing a nice surprise with other relatives.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going to see the relatives at the hospital to help you.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In my circle of acquaintances, I ask for doctors who are familiar with the disease and could help.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm thinking they'll get good help at the hospital.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calls,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visits,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take care of her,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family talk about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distract (listen to music),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask your friend for advice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask your doctor/hospital (status),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depending on the cry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I visit him as often as mgl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I talk to friends/family about grief,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I inform myself about the illness & further course,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll talk to him about illness & ask him what's going on,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I bring him gifts & try to experience many happy moments with him,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I always call him,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I visit her and deal with death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I push the thoughts out of my head,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I send flowers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I distract myself with work,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I get drunk and think about death,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I become aware of the mortality of all and live the best life I can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I go to my relatives and talk to them about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm calling my best friend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I walk in nature for a long time and try to sort my thoughts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to find a way to support them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I let my sadness run wild and I'm crawling away,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask for details of the disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm gonna get in the cab and go to the hospital.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I'm going outside, and I'm just going to sort my thoughts out.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inform the person you trust (friend, sister, mother) about it, talk about it",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"go to the KKH and get myself a ""picture of the situation""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research for information about the disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
try to relax me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distraction by household/cooking/baking/film watching/ undertaking with a friend etw.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I express my grief and try to share it with my interlocutor on the phone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I discuss the difficult situation with family and friends = shared grief,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I offer to visit the relatives in a timely manner in the hospital,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Until then, I try to focus on things that do me good > listen to music, walks",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To keep the heavy not too close to me, I try to distract myself",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to someone about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distract me by watching a show.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visit the relative.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call the relative.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distract me by meeting friends.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inform me about the disease.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cry.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visit and talk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet and talk with other relatives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to friends/partners about your own health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possibly seek medical information,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remembering good time with relatives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking of Life after It,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking back that relatives also experienced and could experience beautiful,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relatives try to call,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they go to visit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calling them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to family members about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to friends about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inform you about illness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distract you & do something funny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pull back & cry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pray,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuddle with pet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Look at photos with relatives (& yourself),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take St. John's wort or similar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watch a funny movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call relatives and ask how to do it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Go to the hospital,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to family about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking Positively,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seek Distraction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going out with friends,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doctor ask how it stands around her,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convincing and Supporting Relatives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm dealing with illness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going to the hospital to see her.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking for beautiful memorabilia that I connect with them.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I hear sad music.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I call them every day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm meeting with the rest of my family to talk about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I inform myself about the illness & whether I can contribute something to the healing.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll cook something that I can connect with them.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call his wife/children and inquire about him,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go to visit him,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google his illness and deal with it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about what to bring him as a gift,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking for friends & crying from them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going to see a therapist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I try to spend as much time with the sick person as possible,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking to my family about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask myself about healing methods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm asking about the disease to better understand it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll talk to her and ask her why.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm saying the same thing about her.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm not talking to them anymore.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll tell my coach.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm not coming anymore.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll talk to a friend about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to convince them of the opposite.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll beat everyone.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going home crying and thinking about a revenge plan.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asking for reasons for opinion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be offended and no longer talk to these fellow players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leave the team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept their opinion and do not allow themselves to be influenced by it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
try to get better,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keep their own mistakes to the players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't miss an aerger in one game to the other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Work even more on my performance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prove the opposite to this person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to family/friends about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smash something,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In ball sport: even stronger shooting/throwing/threating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discuss with Trainers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addressing the Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Looking for distraction: eg movie, excursion, call",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask me if there's anything real about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Improve performance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Core training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask for improvement proposals,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asking: What is meant? pure insult or is there something about it and can be expressed in constructive feedback,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignore and forget,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Shooting back when there is ...",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harder training/***,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"questioning why she says such a thing, putting it into her",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talking about it, also with it > Improvement",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't care about other opinions as long as I'm having fun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do not condescend to the level and also scold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I confront my fellow players and ask for the reason.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm asking what I can do to improve.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm asking for help to improve my technique in the game.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going out of the situation and I'm distracting myself.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm telling them that this statement hurt me.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directly address & say that you're the one that's insecure/injured/injured,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If not given much money: more training o. let it be if it is no longer an important interest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If satisfied with your own performance: continue as before & don't put so much emphasis on the opinion of others,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seeing that you give as much as you do to yourself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying harder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm telling myself I'm good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't listen to her,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I confront them and tell them my opinion and how I feel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I relax and breathe through,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I change the team > dear fellow players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm also complaining about them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I win a game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll tell the team leader,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking to friends about it > second MEINUNG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm letting go of my anger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I confront them with this.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ignore it as long as I do my best.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll ask her how I could do it better.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I keep working alone after training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"As long as my coach doesn't say anything, I'll ignore her.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I calm down before I say something wrong out of anger and then talk to them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I'm thinking about whether I'm a good player & if so, I don't care about your opinion",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I distance myself from these negative people,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask why they don't tell me that themselves when they have (constructive) criticism,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking too bad about her,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I criticise that such statements do not correspond to the team spirit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't have to be the best as long as I enjoy it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discussing the Person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Play extra well at the next workout,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just ignore it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to friends/other players about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"If it's true, get better",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask the players what this is all about,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I also attack fellow players verbally,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm justifying myself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking for mistakes on my teammates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I train harder to prove myself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm changing the team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I change the sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make More Efforts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convert anger/courage/torn into excessive motivation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Show, prove, that is not the case",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open in their opinion +. Reason for (he)questions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train in addition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking about solving the situation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Respecting Your Opinion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talking about it with friends, family",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I talk bad in my head the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I tell myself that sport or performance is not so important to me anyway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I train harder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I check the statement with reality and accept the truth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I stop going to the sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I complain to the coach about this person or their unfriendly behavior,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I confront the person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm pretending I'm not upset.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll tell him he's a piss.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I train to get better,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get out of the team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
try to improve me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
don't listen/forget it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tell them it hurts me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annoy me, but don't tell them",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask someone else for advice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask them why they think so and ask for suggestions for improvement.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I freaked out and yelled at her,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I drive home angry and complain to my family,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I eat a chocolate bar out of frustration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I evaluate whether such people are the right ones for my well-being,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give you a day, I'll give a day, I'll give a day, I'll give you a day,",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
make his skills clear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compare with them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding Reasons for This Attitude,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"it refers to the personal relationship, not to the skill",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
make it clear that you say something like that about everyone,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
They make ridiculous in a game by more skill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I turn to the coach and ask for his honest assessment.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't pay attention to her and try to give my best.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask the team whether it's my behavior or my playing style.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I join with the captain and ask for constructive feedback.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I throw the towel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm changing the team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm going on as before,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to improve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I change sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coach ask what I can do better,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Just keep going, sport is fun",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breaking Something,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change Team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talking to fellow players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Focus on what you think about yourself,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept the criticism and ask for *** to improve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in the said situation visually bundle the anger (e.g. in a clenched fist and let go > mental freedom),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reflect why it annoys you (because it's not true vs. do I agree with you?),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"focus from improvement > what can I improve, show my quality?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write down and compare my good vs. bad points,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm talking to them about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I train harder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm asking her for advice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm leaving the team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm complaining to the Captain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I turn to friends,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I wonder if I'm really that bad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm looking for a new team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying out a new sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Training more,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discussing fellow player,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reflecting What Is True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talking bad with fellow players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change sports team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stop Sporting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meditate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upset me with friends about it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leave Team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make Conscious How No matter what it is,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consciousness of the Unportable Behavior,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Response,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask for Tips,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
practice to show that they are wrong,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probably a little crying,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listening to loud music,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distract - book,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning > distract,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make other sports,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking about Talents/Aptitudes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Criticise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addressing the Situation of Training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"question, since I'm a good player",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no longer appear for training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discussing fellow player,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Check the truth content of the request: Am I a good player?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more/more often training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ask other players for opinion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change sports > Give up your team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"distracting (books, films/series)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talk to the trainer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm changing to another team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm quitting doing the sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ignore the statements of my fellow players,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm trying to improve in the sport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'll talk to the coach about it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I address my fellow players to it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I ask for the reason for the adoption,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I talk to my sports team > they should tell me in the face next time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
